Data Source	World Development Indicators																																																											
																																																												
Last Updated Date	18-09-17																																																											
																																																												
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Antigua and Barbuda	ATG	Population growth (annual %)	SP.POP.GROW	1.121208173	1.444191476	1.765457901	1.992477426	2.088042046	2.089764757	2.080830532	2.074720205	2.023269424	1.922473332	1.786406221	1.611435901	1.438538537	1.278367332	1.152243421	1.02606752	0.939587437	0.812900591	0.614233219	0.27783092	-0.1170307	-0.513283678	-0.849407914	-1.122944473	-1.284050123	-1.342302033	-1.404154652	-1.410885874	-1.166777504	-0.644801576	0.103508031	0.911926202	1.650324045	2.18416517	2.514657024	2.614743907	2.692344039	2.753047696	2.680533611	2.449374686	2.119596929	1.746950577	1.411392597	1.18347304	1.098273643	1.122202076	1.167350102	1.188904483	1.1933199	1.185659303	1.147471712	1.11147273	1.09925469	1.076058296	1.068648038	1.05434633	1.03542237
Australia	AUS	Population growth (annual %)	SP.POP.GROW	2.266911543	1.989740046	2.440639401	1.917816478	1.96235442	1.959716895	2.283184382	1.262276888	1.764158656	2.09302301	1.970188879	3.380293537	1.838146263	1.528816914	2.531220259	1.231185888	1.00265826	1.12667268	1.162885259	1.08064227	1.21894271	1.586852569	1.667535733	1.250548264	1.132221845	1.367346075	1.638988867	1.520986626	1.636206657	1.69256678	1.479978016	1.274577578	1.213390775	0.978336681	1.058508842	1.208019812	1.313819299	1.11872569	1.042235716	1.142505187	1.192272323	1.348358342	1.220563785	1.233996663	1.159352162	1.319789554	1.475227945	0.624678435	2.00402174	2.06104513	1.555489589	1.389527316	1.722895219	1.69747275	1.474287743	1.391107205	1.410063834
Austria	AUT	Population growth (annual %)	SP.POP.GROW	0.510799365	0.548472356	0.612895848	0.642362671	0.666548205	0.649729876	0.701396116	0.74742522	0.519254262	0.345331646	0.349218946	0.446245581	0.581190352	0.554041399	0.170205768	-0.265319411	-0.176672285	0.038390494	-0.080961042	-0.170463648	0.000105968	0.255018231	0.071717018	-0.161600981	-0.006294904	0.046950968	0.063548997	0.063284204	0.14157085	0.4505139	0.762001611	0.998418103	1.100552287	0.824627941	0.384869547	0.153106261	0.135019834	0.113316608	0.109728368	0.194563153	0.240466652	0.382799394	0.491980464	0.487133895	0.620413127	0.681267248	0.494797775	0.324146535	0.313041438	0.26195319	0.2403943	0.337080842	0.455937472	0.584103986	0.730867277	1.066622808	1.314006681
Azerbaijan	AZE	Population growth (annual %)	SP.POP.GROW	3.316314509	3.405043431	3.441192678	3.3869284	3.227912559	3.004237626	2.768335072	2.558214737	2.373913064	2.226829713	2.108846674	1.997418038	1.888282866	1.800082483	1.735563414	1.689513079	1.65324309	1.62333607	1.603866456	1.593763249	1.591150466	1.590058321	1.591254635	1.60167353	1.622045545	1.646583945	1.668722482	1.680347942	1.676389792	1.65322579	0.449521196	1.552352725	1.515077094	1.519152695	1.351730097	1.151694447	1.009848043	0.964673774	0.949138147	0.8775987	0.821519964	0.774765939	0.746173583	0.757650956	0.87542728	1.022265592	1.098586574	1.133855466	2.099854033	2.076148264	1.189787708	1.303000855	1.328763827	1.293447027	1.248208997	1.191209858	1.163574223
Burundi	BDI	Population growth (annual %)	SP.POP.GROW	1.945067105	1.904151761	1.883880748	1.925483819	2.044533482	2.20143286	2.402677516	2.54603492	2.510262712	2.25173967	1.865094293	1.430422937	1.096722532	0.967162922	1.114214172	1.451559825	1.83957671	2.156850843	2.393765359	2.511574442	2.546395472	2.551165863	2.575727198	2.626899005	2.717766568	2.82061083	2.923602897	2.974408382	2.928389998	2.766464379	2.531887332	2.311459105	2.126100118	1.928923015	1.721402241	1.528736221	1.317237747	1.16818212	1.207565317	1.48556011	1.920712036	2.394628078	2.793810959	3.089678581	3.245121675	3.298153071	3.339011117	3.384716388	3.376915124	3.314621282	3.221182855	3.106046414	3.008436011	2.965096095	2.992264687	3.061102894	3.135333146
Belgium	BEL	Population growth (annual %)	SP.POP.GROW	0.657711497	0.332205946	0.398054787	0.747606931	0.946477536	0.908137002	0.675463567	0.556645555	0.393391108	0.283169669	0.098613692	0.182247071	0.391585907	0.314658766	0.314633665	0.288978161	0.178674447	0.123479645	0.09329996	0.089882551	0.110211166	-0.002637154	-0.027176883	-0.007944471	-0.001501708	0.029786423	0.035648851	0.085252141	0.317926245	0.363247986	0.298235706	0.371593166	0.405713496	0.390638518	0.308197074	0.209436838	0.195393176	0.241991885	0.213527651	0.229189103	0.242517956	0.343951158	0.448268895	0.418641508	0.432788248	0.550055708	0.659558215	0.734330831	0.789976845	0.804599573	0.913639392	1.386849113	0.726031655	0.489184301	0.234370844	0.579446242	0.653895349
Benin	BEN	Population growth (annual %)	SP.POP.GROW	1.303687177	1.39849454	1.490499165	1.584057713	1.680970726	1.778051683	1.874280454	1.962161098	2.036764778	2.093957123	2.140598455	2.181542104	2.225788003	2.277351775	2.340560167	2.410099518	2.480581153	2.544627382	2.601673148	2.648764632	2.689452037	2.732264894	2.777364734	2.817449088	2.851805018	2.88525963	2.902539321	2.925496746	2.988651664	3.100765565	3.235058983	3.3771591	3.479002651	3.500773846	3.426061164	3.293613638	3.145323911	3.028375321	2.958613225	2.95175447	2.983994776	3.023780214	3.043082958	3.039674832	3.005342106	2.952383516	2.897532753	2.854074076	2.823521711	2.809336884	2.806108844	2.803422015	2.797040405	2.790253243	2.782287129	2.772977926	2.763534181
Burkina Faso	BFA	Population growth (annual %)	SP.POP.GROW	1.359523054	1.342942567	1.334299392	1.351522507	1.403617953	1.479134908	1.562512466	1.63515063	1.689220704	1.717450603	1.729227236	1.740988024	1.76289839	1.791696136	1.830514006	1.878003326	1.922917384	1.971156316	2.040078629	2.133574842	2.240814219	2.351165151	2.447833751	2.519589584	2.559783642	2.577809423	2.59024849	2.605860045	2.621719571	2.639694017	2.659151577	2.676923975	2.692988242	2.709646605	2.727321991	2.74591353	2.764894998	2.783685302	2.802940418	2.822271747	2.841885125	2.858868603	2.875992432	2.898431555	2.927561373	2.959187776	2.989069919	3.011808563	3.024961665	3.026449668	3.019244688	3.008938328	2.997254968	2.981482933	2.961977939	2.939690431	2.915614034
Bangladesh	BGD	Population growth (annual %)	SP.POP.GROW	2.845730064	2.849193015	2.857067754	2.901406594	2.994148832	3.101174938	3.240526958	3.321335626	3.232627523	2.940959264	2.538374592	2.094771462	1.750091865	1.605032318	1.722185506	2.013666095	2.346820996	2.605196629	2.774531196	2.819565076	2.780487582	2.724763289	2.693949362	2.674056878	2.674099054	2.683217706	2.691530214	2.680801887	2.640654625	2.565377622	2.468723727	2.362697266	2.268351994	2.199300045	2.163957821	2.149696017	2.135935195	2.10920826	2.072225976	2.0211661	1.958193767	1.901470351	1.842264814	1.754879164	1.632766736	1.49164985	1.341369837	1.211053046	1.126317789	1.101990116	1.119887888	1.151949049	1.17243498	1.177318892	1.157188028	1.120144259	1.080165239
Bulgaria	BGR	Population growth (annual %)	SP.POP.GROW	0.952936538	0.958155881	0.875259034	0.810378324	0.81609405	0.731911035	0.654701202	0.629747481	0.711964743	0.768509669	0.654727362	0.549996514	0.465213742	0.520633441	0.667967361	0.482739308	0.433163461	0.51909888	0.111804755	0.135011573	0.402488745	0.333268825	0.295812783	0.249546601	0.23397231	-0.001473114	-0.026519755	0.147109293	0.112372424	-1.170038599	-1.803750479	-0.99042598	-1.073853191	-0.797665852	-0.339586079	-0.4453985	-0.51572988	-0.608797355	-0.667302701	-0.560648225	-0.493896417	-1.990632204	-2.17069878	-0.792113638	-0.754796951	-0.752977445	-0.759505916	-0.735282284	-0.701922745	-0.644281363	-0.658275447	-0.641228921	-0.579220596	-0.559647217	-0.568389264	-0.638069468	-0.701382098
Bahrain	BHR	Population growth (annual %)	SP.POP.GROW	3.540425658	3.310415782	3.079079032	2.844613979	2.629871778	2.45423019	2.293810404	2.208715443	2.314101185	2.650783686	3.13510991	3.560873952	3.935390699	4.426751488	5.040970517	5.645973091	6.256503579	6.620957931	6.480545178	5.802570408	4.865151953	3.878372963	3.113122583	2.685219182	2.681075031	2.952587715	3.29536262	3.511247944	3.550896756	3.358264293	3.038244135	2.751303107	2.579796301	2.478367197	2.463743642	2.535151448	2.62084896	2.771484087	3.106571675	3.654564632	4.315130637	4.836634112	5.249907736	5.75681491	6.36025629	6.904364255	7.49936409	7.773737	7.322469834	6.128062258	4.603905253	2.970051954	1.702435467	1.161799071	1.582802234	2.618665193	3.812796793
"Bahamas, The"	BHS	Population growth (annual %)	SP.POP.GROW	4.790265731	4.969059376	5.060544276	5.032944128	4.8777823	4.644453739	4.408227159	4.176876071	3.867643948	3.482194642	3.061371798	2.627643406	2.261101384	2.031088921	1.970128126	2.023166438	2.105980647	2.158473391	2.20868736	2.21776011	2.221870985	2.222798806	2.239857131	2.205440238	2.121335605	2.010818728	1.875880746	1.766590197	1.70523021	1.709997857	1.765938234	1.847566913	1.903518831	1.872755035	1.729286686	1.530481546	1.290935401	1.114315266	1.071011745	1.203512621	1.46013665	1.745395999	1.967098764	2.108885442	2.124566024	2.063055027	1.979077613	1.916426224	1.837378246	1.756894914	1.670040267	1.577156695	1.481464449	1.388290219	1.298132947	1.214308159	1.129473367
Bosnia and Herzegovina	BIH	Population growth (annual %)	SP.POP.GROW	1.892665926	1.932248988	1.946031708	1.90080751	1.781251634	1.615087066	1.431982858	1.275348159	1.170847849	1.136613508	1.151685378	1.18317828	1.19811747	1.190039451	1.147231823	1.081838143	1.002758838	0.937787829	0.910371042	0.933814552	0.98660755	1.015341785	1.008488816	0.998350143	0.984896027	0.946697839	0.982694775	0.965116062	0.657360704	-0.031126906	-0.963901299	-2.078597534	-3.076604003	-3.630811275	-3.463982114	-2.69772208	-1.661456171	-0.742010802	-0.051873166	0.229919046	0.201652406	0.121464756	0.119860766	0.091064875	0.053964444	0.006426177	-0.054543066	-0.144781204	-0.27597665	-0.453732789	-0.655462608	-0.896490382	-1.108492739	-1.191240193	-1.087641305	-0.845996499	-0.54290805
Belarus	BLR	Population growth (annual %)	SP.POP.GROW	0.977388387	0.889131363	0.97108747	1.016188232	1.02576999	1.001232581	0.999586747	1.01992951	1.00683742	0.961629977	0.885501942	0.832542427	0.801903541	0.740577073	0.64939628	0.52895066	0.468634365	0.551023965	0.653046349	0.617512036	0.613722216	0.692401877	0.677412013	0.683014022	0.678380569	0.653761443	0.679391164	0.67480657	0.286405805	0.29542119	0.186649693	0.049060493	0.215580681	0.224883986	-0.117267677	-0.323196991	-0.334086977	-0.424126493	-0.475578029	-0.420607218	-0.471131335	-0.512966688	-0.636565666	-0.699809191	-0.682169472	-0.68300556	-0.612296198	-0.458847536	-0.345415054	-0.22296073	-0.170360662	-0.183624023	-0.091637482	0.015868579	0.089902558	0.159300802	0.184284342
Belize	BLZ	Population growth (annual %)	SP.POP.GROW	2.835710017	2.826169131	2.791624743	2.814691655	2.85898242	2.916243907	2.996520597	3.013212171	2.945748135	2.719845374	2.419736768	2.114462824	1.871112725	1.672138912	1.544921192	1.476401422	1.406096778	1.353755572	1.432147223	1.669857191	1.996843481	2.338642375	2.631009162	2.812870519	2.862588675	2.812635448	2.778745494	2.763866433	2.664952755	2.45034977	2.20104244	1.887675612	1.655794971	1.683490757	2.032677864	2.588750099	3.192081572	3.644018127	3.84122995	3.725900281	3.409049514	3.053797033	2.792965627	2.606407988	2.552874327	2.570194001	2.602825568	2.60048533	2.566584581	2.504267338	2.416656693	2.330775455	2.255412899	2.197238562	2.159379755	2.136281595	2.111220431
Bermuda	BMU	Population growth (annual %)	SP.POP.GROW	1.360606337	2.477477477	2.417582418	2.360515021	2.51572327	2.45398773	1.796407186	1.960784314	1.923076923	1.886792453	1.851851852	-0.727272727	-0.732600733	-0.73800738	-0.743494424	-0.74906367	0.377358491	0.37593985	0.374531835	0.373134328	1.617100372	0.695079568	0.72479564	0.867463796	0.881458967	0.841855272	0.850645014	0.813844063	0.860861899	0.846658783	0.824255196	-0.514108485	-0.721776995	0.537588531	0.695976914	0.718138908	0.641047099	0.612017496	0.737226639	0.561180119	0.894182916	1.085181052	0.652758223	0.656472533	0.655349388	0.649513649	0.575178477	0.565689754	0.593330046	0.55612581	-0.780059723	-0.859898041	0.362431076	0.313281274	0.212304426	0.147377147	0.147160267
Bolivia	BOL	Population growth (annual %)	SP.POP.GROW	1.899197955	1.913748217	1.927847882	1.942861285	1.960071111	1.978195729	1.996306715	2.013395397	2.031072756	2.049271647	2.06721559	2.082420035	2.096977967	2.115069149	2.137231158	2.161004446	2.183422063	2.199226899	2.204265569	2.19615285	2.178498114	2.159576384	2.140643685	2.11583133	2.084446539	2.050222719	2.01359166	1.981517855	1.961461524	1.956515303	1.961844428	1.968137938	1.97094674	1.973167127	1.974325337	1.973334995	1.972420025	1.968360538	1.955122156	1.930571752	1.898106546	1.863490047	1.830634945	1.798916052	1.769869298	1.742891549	1.715802914	1.688818504	1.663905963	1.641611932	1.621157434	1.601317636	1.581548505	1.562684118	1.54465177	1.527225047	1.510046906
Brazil	BRA	Population growth (annual %)	SP.POP.GROW	2.895856892	2.926271833	2.944038813	2.935050938	2.893085585	2.829378085	2.763653827	2.704974587	2.64709903	2.592090536	2.540981611	2.488702806	2.440719299	2.407954917	2.3936085	2.391232481	2.388250617	2.380221483	2.37249469	2.364126446	2.352598626	2.342077905	2.324175912	2.285626568	2.222057021	2.142237395	2.0594694	1.983118734	1.912636492	1.851101323	1.797188572	1.741950349	1.688363836	1.648050807	1.623857688	1.609646578	1.599431826	1.58330331	1.554874758	1.509726796	1.45290131	1.395385864	1.341366666	1.285684986	1.228872972	1.172551513	1.114608547	1.060019419	1.016864591	0.988453746	0.970296367	0.956012574	0.938920327	0.917022961	0.887563333	0.852799206	0.817555711
Barbados	BRB	Population growth (annual %)	SP.POP.GROW	0.255805623	0.319487018	0.391157254	0.429454961	0.410139552	0.351974419	0.28424899	0.244147668	0.243974626	0.300560936	0.392230572	0.49573797	0.584039078	0.63375362	0.641213237	0.609493237	0.571455602	0.540075633	0.500385956	0.456896022	0.404076271	0.350701167	0.300244248	0.266347365	0.264856122	0.286040378	0.316779417	0.340237561	0.354944205	0.359470256	0.352421916	0.345443352	0.347305487	0.344583063	0.351354174	0.356917732	0.370314286	0.376440478	0.375775127	0.362097879	0.343375699	0.310065147	0.292532159	0.286904135	0.305492684	0.335587959	0.375195323	0.403129055	0.422427178	0.414186551	0.39387979	0.368459992	0.350062437	0.327605267	0.309598865	0.293163377	0.273711418
Brunei Darussalam	BRN	Population growth (annual %)	SP.POP.GROW	4.793482025	4.603390726	4.477882717	4.43565601	4.464131384	4.571556925	4.664692972	4.712213374	4.736091896	4.721844985	4.684234677	4.631654513	4.570286241	4.464790703	4.313917853	4.143531046	3.97330186	3.819156441	3.642792463	3.469458581	3.298473841	3.114703836	2.975505879	2.873024338	2.830822701	2.839335244	2.836733318	2.838468474	2.836233922	2.845513898	2.849894714	2.852825267	2.846720697	2.803064139	2.721794691	2.613674551	2.494600949	2.38005712	2.276181024	2.189670622	2.108246022	2.042372412	1.965174511	1.862801203	1.720871966	1.555198377	1.384831652	1.238484038	1.163759826	1.184773447	1.266144506	1.367383237	1.44504449	1.481905887	1.46512371	1.408049349	1.345029067
Bhutan	BTN	Population growth (annual %)	SP.POP.GROW	2.500918217	2.490144279	2.496980625	2.554168005	2.682791407	2.845611094	3.011599593	3.144764516	3.233294517	3.258841685	3.245866858	3.216880225	3.192103611	3.177149357	3.186757588	3.204977294	3.225582793	3.230912279	3.17935645	3.067792643	2.92174393	2.702345859	2.506502852	2.473957565	2.651659938	2.923007367	3.320692847	3.556444687	3.308906486	2.479101312	1.315757921	0.000744488	-1.07765854	-1.594508495	-1.272405155	-0.315305968	0.851905102	1.807620714	2.502864307	2.798769199	2.807182639	2.783288408	2.809384438	2.770472022	2.666579884	2.522569589	2.34631685	2.167558629	2.016340283	1.908765546	1.828358142	1.753134331	1.668226413	1.580345	1.490482105	1.398892513	1.309546955
Botswana	BWA	Population growth (annual %)	SP.POP.GROW	2.295706581	2.391710923	2.498271167	2.600592896	2.695442693	2.783057897	2.875748073	2.972087705	3.062299308	3.135917201	3.207462606	3.258867576	3.311480197	3.398223031	3.526234777	3.66825247	3.803403738	3.894808196	3.920126499	3.867904447	3.764913006	3.652084787	3.546911866	3.439593523	3.334155821	3.2323702	3.120881251	3.011237808	2.923206647	2.86272285	2.818033231	2.778279512	2.722614039	2.634258919	2.505915956	2.351838858	2.20395325	2.071521265	1.934592244	1.794802098	1.661433899	1.527040891	1.415514027	1.360736027	1.375545987	1.439411021	1.517960533	1.588807544	1.654476691	1.708090948	1.751544498	1.794005871	1.83435104	1.858453392	1.864855257	1.855975354	1.841666401
Central African Republic	CAF	Population growth (annual %)	SP.POP.GROW	1.611712882	1.696133462	1.778076377	1.852253676	1.920753655	1.979454889	2.044181756	2.100216899	2.11530976	2.079022577	2.015517854	1.943522685	1.89752341	1.9037581	1.977386568	2.096351326	2.207710327	2.303173415	2.424437201	2.571621417	2.723183322	2.895448862	3.023832036	3.025121461	2.873053536	2.632018835	2.354169164	2.137263487	2.047673624	2.12584735	2.309353395	2.5140364	2.657350267	2.721678442	2.6811793	2.570878235	2.446993224	2.34403013	2.251098402	2.175619601	2.112116821	2.035527681	1.948661208	1.877362779	1.825949193	1.781166016	1.773178353	1.746821024	1.614337313	1.345085023	1.000713781	0.619139161	0.318137563	0.20549349	0.349172211	0.677771774	1.06165489
Canada	CAN	Population growth (annual %)	SP.POP.GROW	2.298626535	2.00112211	1.859888233	1.862845928	1.885714943	1.810166597	1.862813771	1.799356505	1.613408503	1.359783472	1.3978316	1.496599865	1.595371383	1.694139969	1.792904339	1.891677995	1.322595092	1.175141392	1.003520715	0.99766936	1.293244953	1.240595387	1.205555298	1.002811515	0.961733829	0.929446703	1.004879395	1.311767682	1.291064804	1.783590046	1.493593109	1.360506174	1.2274176	1.094331921	0.961244717	0.828159179	1.077164681	1.057015395	0.865613663	0.827369318	0.882998577	1.009521666	0.897131277	0.996232739	1.002034424	0.985903767	0.796844597	0.969853611	1.082197086	1.144840183	1.113959721	0.987617711	1.180344799	1.158442913	1.10075487	0.851756047	1.213891076
Central Europe and the Baltics	CEB	Population growth (annual %)	SP.POP.GROW		0.914136246	0.84323103	0.893253758	0.934352391	0.764829098	0.735035698	0.930800526	0.864361083	0.735317119	0.538686077	0.510108128	0.727239458	0.754179825	0.816586988	0.898741196	0.882386776	0.789416924	0.683625295	0.589269317	0.604265262	0.584692493	0.543728867	0.516003436	0.485831335	0.46587063	0.445181677	0.409234111	0.3552718	0.101950037	-0.050197931	-0.411135379	-0.258235426	0.068928287	-0.056222909	-0.096668256	-0.318541312	-0.094926123	-0.230120672	-0.096011064	-0.63869566	-0.558203114	-0.651966047	-0.314487974	-0.275992769	-0.274594407	-0.256601993	-0.374679931	-0.358131538	-0.192447805	-0.362709819	-0.353691942	-0.229154984	-0.21320183	-0.209757193	-0.230373722	-0.274719328
